id	imageUrl	artist	artistUrl	platform	imageSourceUrl	mediaSource	girlOrBoy
C	https://cdn.donmai.us/original/c3/90/__scaramouche_wanderer_scaramouche_and_scaramouche_genshin_impact_drawn_by_sllgiko__c39057568fb300e8f5fa225799ecaaca.jpg	sllgiko_	https://twitter.com/sllgiko_	twitter	https://twitter.com/sllgiko_/status/1611401658466209793	Genshin Impact	boy
D	https://cdn.donmai.us/original/d0/89/__xiao_genshin_impact_drawn_by_quietlane__d0899ae87878a58e00ccf45b20ce7fc1.jpg	QuiteLane	https://www.pixiv.net/en/users/12683803	pixiv	https://www.pixiv.net/en/artworks/104340860	Genshin Impact	boy
E	https://cdn.donmai.us/original/22/0f/__kagehira_mika_and_itsuki_shu_ensemble_stars_drawn_by_seuga__220f1567a24a0b0f9b412c41b12ac634.png	seuga	https://www.pixiv.net/en/users/1415681	pixiv	https://www.pixiv.net/en/artworks/72211315	Ensemble Stars	boy
F	https://cdn.donmai.us/original/c5/bd/__sakuma_ritsu_and_isara_mao_ensemble_stars_drawn_by_seuga__c5bdb6ab238f98ddc41d1e1bfcd07639.png	seuga	https://www.pixiv.net/en/users/1415681	pixiv	https://www.pixiv.net/en/artworks/72211315	Ensemble Stars	boy
10	https://cdn.donmai.us/original/b3/95/__kazusa_blue_archive_drawn_by_rerein_0530__b395e3f5786a56f3045219991d343ffc.jpg	れれいん	https://www.pixiv.net/en/users/88613133	pixiv	https://www.pixiv.net/en/artworks/103337305	Blue Archive	girl
11	https://cdn.donmai.us/original/38/08/__serika_blue_archive_drawn_by_e_buki__38088cfae50a2fbf1169745a3131ae9a.png	e武器	https://www.pixiv.net/en/users/85167090	pixiv	https://www.pixiv.net/artworks/103540113	Blue Archive	girl
12	https://cdn.donmai.us/original/e4/a8/__alba_ruki_and_ross_sen_yuu_drawn_by_aka_muffler_yamato__e4a8572c95505b23b4eda689c71e381c.png	赤マフラー大和	https://www.pixiv.net/en/users/116749	pixiv	https://www.pixiv.net/en/artworks/96449726	Sen'yuu	duo
13	https://cdn.donmai.us/original/16/e8/__harmonie_arknights_drawn_by_megalateo__16e8c674fda8a613f1fc79ebb376b509.png	メーガー	https://www.pixiv.net/en/users/4833227	pixiv	https://www.pixiv.net/en/artworks/104346528	Arknight	girl
14	https://cdn.donmai.us/sample/48/3c/__ijichi_nijika_yamada_ryou_hiroi_kikuri_and_ijichi_seika_bocchi_the_rock_drawn_by_vinylllll__sample-483c1c0e7492fd7c72c0af4a32fd367e.jpg	跨越千夜	https://vinylllll.lofter.com/	lofter	https://vinylllll.lofter.com/post/1f1a8c2b_2b7caff75	Bocchi the Rock!	girl
15	https://cdn.donmai.us/original/38/15/__scaramouche_and_wanderer_genshin_impact_drawn_by_rtms__3815d871dade995d30e1444927a259c5.jpg	りと〼	https://twitter.com/_Rtms__	twitter	https://twitter.com/_Rtms__/status/1611653561880018944	Genshin Impact	boy
16	https://cdn.donmai.us/original/ee/67/__miyafuji_yoshika_and_lynette_bishop_world_witches_series_and_1_more_drawn_by_tricky_46__ee67de68a9e8ac2fecfb5a6709b1549a.jpg	tricky	https://www.pixiv.net/en/users/11316473	pixiv	https://www.pixiv.net/en/artworks/103696752	Strike Witches	girl
17	https://cdn.donmai.us/original/cb/cd/__marius_von_hagen_and_artem_wing_tears_of_themis_drawn_by_melrw22__cbcd23612049699c4e9b058330c5edd7.jpg	Mel	https://twitter.com/melrw22	twitter	https://twitter.com/melrw22/status/1603814314322059264	Tears of Themis	boy
18	https://cdn.donmai.us/original/1d/a0/__hakurei_reimu_touhou_drawn_by_shinonome_asu__1da019b44e7e512114488b6ce13ea7ab.jpg	東雲あす	https://twitter.com/x11dF3	twitter	https://twitter.com/x11dF3/status/1611671611278491654	Touhou	girl
19	https://cdn.donmai.us/original/e0/11/__hu_tao_and_boo_tao_genshin_impact_drawn_by_congqian_you_ke_xing__e0110f659ffc04ec1a1c20bdfe1df52e.jpg	_从前有颗星	https://www.pixiv.net/en/users/18900473	twitter	https://www.pixiv.net/en/artworks/104321770	Genshin Impact	girl
1A	https://cdn.donmai.us/original/5c/32/__nekomata_okayu_hololive_drawn_by_go_ho_lolikon__5c322a696b11aac8915dc3048835abf3.jpg	ゅう	https://twitter.com/go_ho_lolikon	twitter	https://twitter.com/go_ho_lolikon/status/1611647806850363393	Hololive	girl
1B	https://cdn.donmai.us/original/f5/1f/__original_drawn_by_shiraki_shiro__f51f04b5896cdf6a3304a454b3e7802d.jpg	白木しろ	https://www.pixiv.net/en/users/73211076	pixiv	https://www.pixiv.net/en/artworks/95283925	#N/A	girl
1C	https://cdn.donmai.us/original/96/f0/__original_drawn_by_arukiru__96f0ce289932be215f7a161b15fc1bf0.jpg	横山ストッパ	https://www.pixiv.net/en/users/735109	pixiv	https://www.pixiv.net/en/artworks/104309496	#N/A	girl
1D	https://cdn.donmai.us/original/11/b0/__itadori_yuuji_and_fushiguro_megumi_jujutsu_kaisen_drawn_by_fushirun_rung__11b025bab99e5a728b4330d58cdfe7a7.jpg	른릉	https://twitter.com/fushirun_rung	twitter	https://twitter.com/fushirun_rung/status/1602983086568140800	Jujutsu Kaisen	boy
1E	https://cdn.donmai.us/original/51/f1/__gawr_gura_hololive_and_1_more_drawn_by_cine9447__51f17954014449385c7d20945c2da4f3.jpg	Cine	https://twitter.com/Cine9447	twitter	https://twitter.com/Cine9447/status/1596337949167079426	Hololive	girl
1F	https://cdn.donmai.us/sample/98/7d/__ike_eveland_mysta_rias_sonny_brisko_and_alban_knox_nijisanji_and_1_more_drawn_by_szainx__sample-987df4ba487168cf903cfaf913b78e72.jpg	ZAN	https://twitter.com/szainx	twitter	https://twitter.com/szainx/status/1532046449151983617	Nijisanji	boy
20	https://cdn.donmai.us/sample/3d/19/__cat_girl_chikyuu_no_ura_drawn_by_nattuiuriowari__sample-3d19813749fc0b8666dd4e9b2180f928.jpg	ねたみ	https://twitter.com/nattuiuriowari	twitter	https://twitter.com/nattuiuriowari/status/1597968033460686848	Chikyuu no Ura	girl
21	https://cdn.donmai.us/original/40/ba/__mikeneko_indie_virtual_youtuber_and_1_more_drawn_by_milk_tea_1993__40ba575616acf3f0b278a2d786470922.png	Milk_Tea	https://twitter.com/Milk_Tea_1993	twitter	https://twitter.com/Milk_Tea_1993/status/1596925867665784834	Mikeneko (VTuber)	girl
22	https://cdn.donmai.us/sample/cd/fb/__original_drawn_by_ookami_ciro__sample-cdfbe15f83b00985525e07741cb2b192.jpg	c i r o チロ	https://twitter.com/ookami_ciro	twitter	https://twitter.com/ookami_ciro/status/1609246686991515648	#N/A	boy
23	https://cdn.donmai.us/original/5e/2b/__mikeneko_and_pon_chan_indie_virtual_youtuber_and_1_more_drawn_by_shinyo_yukino__5e2b5c92ec829ac34324e61ad384b6da.jpg	芯桜 雪姫乃	https://twitter.com/shinyo_yukino	twitter	https://twitter.com/shinyo_yukino/status/1610532331139522566	Mikeneko (VTuber)	girl
24	https://cdn.donmai.us/original/7f/be/__mikeneko_and_fandead_indie_virtual_youtuber_and_1_more_drawn_by_milk_tea_1993__7fbe233ce674a12e4d9728dbb85c9d0f.jpg	Milk_Tea	https://twitter.com/Milk_Tea_1993	twitter	https://twitter.com/Milk_Tea_1993/status/1584933711052619776	Mikeneko (VTuber)	girl
25	https://cdn.donmai.us/sample/25/ca/__scaramouche_and_wanderer_genshin_impact_drawn_by_ookami_ciro__sample-25ca16eb8343abfc8fbec84f00ff5c6b.jpg	c i r o チロ	https://twitter.com/ookami_ciro	twitter	https://twitter.com/ookami_ciro/status/1610651617698938880	Genshin Impact	boy
26	https://cdn.donmai.us/original/c7/63/__rem_re_zero_kara_hajimeru_isekai_seikatsu_drawn_by_suashi__c763b0ae7331370195caf466bf7f8167.jpg	すぁし	https://twitter.com/sashisuse___	twitter	https://twitter.com/sashisuse___/status/1610605571308421121	Re:Zero kara Hajimeru Isekai Seikatsu	girl
27	https://cdn.donmai.us/original/0e/86/__kuroo_tetsurou_haikyuu_drawn_by_namo__0e863c20d556e088ad2dc1d3aad38129.jpg	なも	https://www.pixiv.net/en/users/1148011	pixiv	https://www.pixiv.net/en/artworks/58161087	Haikyuu!!	boy
28	https://cdn.donmai.us/original/fc/93/__aizawa_kazuha_assault_lily_drawn_by_masaki_itsuki__fc93c52f41b6a558ebb8b433d6f0cc5e.png	マサキ樹（いつき）	https://www.pixiv.net/en/users/194779	pixiv	https://www.pixiv.net/en/artworks/104243884	Assault Lily	girl
29	https://cdn.donmai.us/original/fd/0e/__nekomata_okayu_hololive_drawn_by_mushoku_loli__fd0e8b72826723ab47aa655249244ec8.jpg	無職ロリ	https://twitter.com/0_shusi_	twitter	https://twitter.com/0_shusi_/status/1513739959207104512	Hololive	girl
2A	https://cdn.donmai.us/sample/cd/21/__avatar_final_fantasy_and_1_more_drawn_by_gaurir__sample-cd210584afcd9f378385fe092dbbbb46.jpg	がうりる	https://twitter.com/gaudirill	twitter	https://twitter.com/gaudirill/status/1610569350674616321	Final Fantasy XIV	girl
2B	https://cdn.donmai.us/sample/e8/88/__original_drawn_by_anajudraws__sample-e88895f40f6303b5b64a5a94661da5bb.jpg	anajudraws	https://www.pixiv.net/en/users/14024237	pixiv	https://www.pixiv.net/en/artworks/89031471	#N/A	girl
2C	https://cdn.donmai.us/original/24/f1/__ticonderoga_azur_lane_drawn_by_mg42cat_k1ng__24f109fa73daef2a480d58ed0ea75e7f.png	MG42CaT-K1ng	https://www.pixiv.net/en/users/748574	pixiv	https://www.pixiv.net/en/artworks/99256870	Azur Lane	girl
2D	https://cdn.donmai.us/original/a9/a1/__byleth_byleth_and_byleth_fire_emblem_and_1_more_drawn_by_do_m_kaeru__a9a1dafe3ceae545e81eeeee1f724adf.png	Mカエル	https://twitter.com/makkusuoko	twitter	https://twitter.com/makkusuoko/status/1609127241346318336	Fire Emblem: Three Houses	duo
2E	https://cdn.donmai.us/original/3d/cb/__mizushiro_kumori_indie_virtual_youtuber_drawn_by_una_kamra__3dcb3d7a902ddae4cc2f71dcb7e4f676.png	羽梛	https://www.pixiv.net/en/users/75784339	pixiv	https://www.pixiv.net/en/artworks/103667536	Mizushiro Kumori (VTuber)	girl
2F	https://cdn.donmai.us/sample/8a/6c/__ninomae_ina_nis_vestia_zeta_kobo_kanaeru_and_kaela_kovalskia_hololive_and_2_more_drawn_by_zeng_zwj__sample-8a6c9ae9e7138553d93d846c2c473b79.jpg	ZWJ	https://www.pixiv.net/en/users/15961697	pixiv	https://www.pixiv.net/en/artworks/103724370	Hololive	girl
30	https://media.discordapp.net/attachments/1062621565080059964/1062767567715967036/ybVYpcP6QrJMcsit.png	Nekomi_ch	https://www.pixiv.net/en/users/76274279	pixiv	https://www.pixiv.net/en/artworks/104211725	#N/A	boy
31	https://media.discordapp.net/attachments/1062621565080059964/1062770770230648842/eSDyuvg8mR35PdSW.png	T1213121	https://twitter.com/zdrrhnbxg	twitter	https://twitter.com/zdrrhnbxg/status/1567426623099801606	Hololive	boy
